Year,Month,Average_Sale_Price,Median_Sale_Price,Total_Houses_sold,interest_rate
2018,1,889384.2116,750000,161,3.95
2018,2,937853.2391,824975,206,4.22
2018,3,996412.8856,861000,270,4.43
2018,4,982576.4724,852000,292,4.4
2018,5,1025185.874,835000,337,4.55
2018,6,962487.0662,825000,343,4.54
2018,7,908809.0066,799975,285,4.52
2018,8,929911.2494,790000,283,4.6
2018,9,912775.8622,798000,237,4.54
2018,10,880835.1087,750000,277,4.71
2018,11,894839.7516,758400,228,4.83
2018,12,826886.2058,727000,178,4.75
2019,1,867155.7623,738100,180,4.51
2019,2,883217.7336,780250,201,4.41
2019,3,964884.2492,791500,246,4.41
2019,4,964164.9936,818000,317,4.08
2019,5,975126.7539,825000,334,4.14
2019,6,920348.0473,801000,334,3.82
2019,7,936622.5863,794000,326,3.75
2019,8,913318.5166,789000,295,3.75
2019,9,942651.4767,760000,244,3.49
2019,10,968251.9225,805000,296,3.65
2019,11,922229.1503,797950,241,3.69
2019,12,951350.0541,755000,203,3.68
2020,1,935816.9449,810000,179,3.72
2020,2,959434,818500,187,3.45
2020,3,1042735.331,880500,294,3.29
2020,4,1007983.932,861750,218,3.33
2020,5,961587.9733,840000,247,3.26
2020,6,1027603.285,875000,338,3.18
2020,7,1020016.905,872500,363,3.07
2020,8,1099155.627,915000,364,2.88
2020,9,1012444.756,850000,393,2.93
2020,10,1015680.198,870000,373,2.88
2020,11,998109.8735,852500,313,2.78
2020,12,1021630.969,860000,277,2.71
2021,1,1033503.792,860000,210,2.65
2021,2,1116237.587,900000,261,2.73
2021,3,1137830.516,956000,344,3.02
2021,4,1190524.956,965000,373,3.18
2021,5,1227662.624,1025250,388,2.96
2021,6,1213167.381,1005000,401,2.99
2021,7,1199415.967,1000000,374,2.98
2021,8,1175283.369,963500,353,2.77
2021,9,1113326.526,936250,320,2.87
2021,10,1177489.59,949000,360,2.99
2021,11,1154338.916,935000,284,3.09
2021,12,1054027.664,908000,209,3.11
2022,1,1141767.505,910000,166,3.22
2022,2,1242887.768,1100000,212,3.69
2022,3,1267448.256,1115000,318,3.85
2022,4,1317644.47,1115000,318,4.72
2022,5,1369760.651,1199950,323,5.27
2022,6,1275082.554,1095000,316,5.09
2022,7,1235949.897,1020700,262,5.3
2022,8,1202598.57,1012250,258,4.99
2022,9,1282723.5,999975,226,5.66
2022,10,1161799.083,981000,223,6.66
2022,11,1098688.515,952500,188,6.95
2022,12,1115305.928,925000,109,6.49
