price_distribution,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"$0 - $69,999",4.5,2.9,1.7,0.9,0.6,0.4,0.2,0.1,0.1,0.1,0,0
"$70,000 - $99,999",6.5,5.3,3.3,2,1.1,0.8,0.5,0.3,0.2,0.2,0,0
"$100,000 - $149,999",21.6,19.5,16,11,6.5,3.7,2.5,1.7,1.2,0.8,0.3,0.1
"$150,000 - $199,999",21,21.4,22.3,22.2,19.5,15.2,11.2,7.9,6.5,3.8,1.3,0.4
"$200,000 - $249,999",13,14,15.2,17,18.6,19.6,20.6,20.6,19.9,14.7,3.8,1.1
"$250,000 - $299,999",10,10.3,10.9,12.3,14.3,15.8,16.6,17.7,18.1,18.1,8,3.2
"$300,000 - $399,999",11,11.8,13.7,15.5,17.4,19.8,21.6,22.7,23,24.9,23.5,19.8
"$400,000 - $499,999",5.1,6.3,7.4,8.2,9.2,10.4,11.3,12,12.9,14.1,20.9,24.1
"$500,000 - $749,999",4.6,5.5,6,7.4,8.3,9.5,10.3,11.1,11.8,14.7,25.1,30.3
"$750,000 - $999,999",1.5,1.5,1.8,1.8,2.2,2.6,2.7,3.1,3.2,4.4,9.1,10.9
"$1,000,000 +",1.3,1.4,1.8,1.9,2.2,2.1,2.5,2.8,3.1,4.3,7.9,9.9
